feature_x,feature_y,feature_x_group,feature_y_group,value
E165 Centroid,E165 Centroid,Centroid,Centroid,1
E165 Centroid,A220 Centroid,Centroid,Centroid,0.9459603299945706
E165 Centroid,E330 Centroid,Centroid,Centroid,0.9814975296773774
E165 Centroid,A440 Centroid,Centroid,Centroid,0.9161003468617722
A220 Centroid,E165 Centroid,Centroid,Centroid,0.9459603299945706
A220 Centroid,A220 Centroid,Centroid,Centroid,1
A220 Centroid,E330 Centroid,Centroid,Centroid,0.9465813642181562
A220 Centroid,A440 Centroid,Centroid,Centroid,0.9445280674392896
E330 Centroid,E165 Centroid,Centroid,Centroid,0.9814975296773772
E330 Centroid,A220 Centroid,Centroid,Centroid,0.9465813642181562
E330 Centroid,E330 Centroid,Centroid,Centroid,1
E330 Centroid,A440 Centroid,Centroid,Centroid,0.9306698736078471
A440 Centroid,E165 Centroid,Centroid,Centroid,0.9161003468617722
A440 Centroid,A220 Centroid,Centroid,Centroid,0.9445280674392896
A440 Centroid,E330 Centroid,Centroid,Centroid,0.9306698736078471
A440 Centroid,A440 Centroid,Centroid,Centroid,1
E165 Centroid,E165 Frequency Deviation,Centroid,Frequency Deviation,0.4764609758015704
E165 Centroid,A220 Frequency Deviation,Centroid,Frequency Deviation,0.3115295747303652
E165 Centroid,E330 Frequency Deviation,Centroid,Frequency Deviation,0.1900567234655486
E165 Centroid,A440 Frequency Deviation,Centroid,Frequency Deviation,0.3335459215438819
A220 Centroid,E165 Frequency Deviation,Centroid,Frequency Deviation,0.4363097236676571
A220 Centroid,A220 Frequency Deviation,Centroid,Frequency Deviation,0.2173985072562746
A220 Centroid,E330 Frequency Deviation,Centroid,Frequency Deviation,0.1199497938777617
A220 Centroid,A440 Frequency Deviation,Centroid,Frequency Deviation,0.2197580161483068
E330 Centroid,E165 Frequency Deviation,Centroid,Frequency Deviation,0.4293397903453379
E330 Centroid,A220 Frequency Deviation,Centroid,Frequency Deviation,0.2685505273593479
E330 Centroid,E330 Frequency Deviation,Centroid,Frequency Deviation,0.1660119890902727
E330 Centroid,A440 Frequency Deviation,Centroid,Frequency Deviation,0.2940427823634316
A440 Centroid,E165 Frequency Deviation,Centroid,Frequency Deviation,0.3909406672727456
A440 Centroid,A220 Frequency Deviation,Centroid,Frequency Deviation,0.2709132593322123
A440 Centroid,E330 Frequency Deviation,Centroid,Frequency Deviation,0.1576851759985541
A440 Centroid,A440 Frequency Deviation,Centroid,Frequency Deviation,0.2628310825673038
E165 Centroid,E165 Fundamental dB,Centroid,Fundamental,0.7761242980547133
E165 Centroid,A220 Fundamental dB,Centroid,Fundamental,0.2031471460103222
E165 Centroid,E330 Fundamental dB,Centroid,Fundamental,0.494053998497802
E165 Centroid,A440 Fundamental dB,Centroid,Fundamental,0.332897303995154
A220 Centroid,E165 Fundamental dB,Centroid,Fundamental,0.6999216894846518
A220 Centroid,A220 Fundamental dB,Centroid,Fundamental,0.1741219779118215
A220 Centroid,E330 Fundamental dB,Centroid,Fundamental,0.6051515708036526
A220 Centroid,A440 Fundamental dB,Centroid,Fundamental,0.3837880480705012
E330 Centroid,E165 Fundamental dB,Centroid,Fundamental,0.7270396681752052
E330 Centroid,A220 Fundamental dB,Centroid,Fundamental,0.1748457456607077
E330 Centroid,E330 Fundamental dB,Centroid,Fundamental,0.4729219569490968
E330 Centroid,A440 Fundamental dB,Centroid,Fundamental,0.3606296285136725
A440 Centroid,E165 Fundamental dB,Centroid,Fundamental,0.624067529966783
A440 Centroid,A220 Fundamental dB,Centroid,Fundamental,0.1009635811390787
A440 Centroid,E330 Fundamental dB,Centroid,Fundamental,0.5376641771374051
A440 Centroid,A440 Fundamental dB,Centroid,Fundamental,0.4902111081304366
E165 Centroid,E165 ot1 dB,Centroid,Overtone,0.6843168052188041
E165 Centroid,E165 ot2 dB,Centroid,Overtone,0.3070854377289417
E165 Centroid,E165 ot3 dB,Centroid,Overtone,0.5018826430451537
E165 Centroid,E165 ot4 dB,Centroid,Overtone,0.7650634556159446
E165 Centroid,E165 ot5 dB,Centroid,Overtone,0.6841024799129258
E165 Centroid,E165 ot6 dB,Centroid,Overtone,0.6193695761602107
E165 Centroid,E165 ot7 dB,Centroid,Overtone,0.7265019013642932
E165 Centroid,A220 ot1 dB,Centroid,Overtone,0.4753567250305162
E165 Centroid,A220 ot2 dB,Centroid,Overtone,0.7401851144934628
E165 Centroid,A220 ot3 dB,Centroid,Overtone,0.6818560447190336
E165 Centroid,A220 ot4 dB,Centroid,Overtone,0.4940264004311015
E165 Centroid,A220 ot5 dB,Centroid,Overtone,0.465064914186021
E165 Centroid,A220 ot6 dB,Centroid,Overtone,0.4861475560400518
E165 Centroid,A220 ot7 dB,Centroid,Overtone,0.5185013772670823
E165 Centroid,E330 ot1 dB,Centroid,Overtone,0.2841101277940845
E165 Centroid,E330 ot2 dB,Centroid,Overtone,0.6289662668945883
E165 Centroid,E330 ot3 dB,Centroid,Overtone,0.6927333015590125
E165 Centroid,E330 ot4 dB,Centroid,Overtone,0.5754731701493563
E165 Centroid,E330 ot5 dB,Centroid,Overtone,0.634908165374855
E165 Centroid,E330 ot6 dB,Centroid,Overtone,0.6487196063359059
E165 Centroid,E330 ot7 dB,Centroid,Overtone,0.6706078478803503
E165 Centroid,A440 ot1 dB,Centroid,Overtone,0.5486982220019987
E165 Centroid,A440 ot2 dB,Centroid,Overtone,0.2279950320192942
E165 Centroid,A440 ot3 dB,Centroid,Overtone,0.3905445165721375
E165 Centroid,A440 ot4 dB,Centroid,Overtone,0.4731861986932938
E165 Centroid,A440 ot5 dB,Centroid,Overtone,0.4847708909898212
E165 Centroid,A440 ot6 dB,Centroid,Overtone,0.5780110537007779
E165 Centroid,A440 ot7 dB,Centroid,Overtone,0.6956052232559259
A220 Centroid,E165 ot1 dB,Centroid,Overtone,0.7087364345034071
A220 Centroid,E165 ot2 dB,Centroid,Overtone,0.2961855246147845
A220 Centroid,E165 ot3 dB,Centroid,Overtone,0.3947791042630289
