feature_x,feature_y,feature_x_group,feature_y_group,value
E165 Centroid,E165 Centroid,Centroid,Centroid,0.9999999999999998
E165 Centroid,A220 Centroid,Centroid,Centroid,1.278258991256182
E165 Centroid,E330 Centroid,Centroid,Centroid,0.7635539268329229
E165 Centroid,A440 Centroid,Centroid,Centroid,1.054650648452157
A220 Centroid,E165 Centroid,Centroid,Centroid,0.4283869470061003
A220 Centroid,A220 Centroid,Centroid,Centroid,1
A220 Centroid,E330 Centroid,Centroid,Centroid,0.380345161941169
A220 Centroid,A440 Centroid,Centroid,Centroid,0.8940896043377108
E330 Centroid,E165 Centroid,Centroid,Centroid,0.9831116680432265
E330 Centroid,A220 Centroid,Centroid,Centroid,1.461247088126055
E330 Centroid,E330 Centroid,Centroid,Centroid,1.000000000000001
E330 Centroid,A440 Centroid,Centroid,Centroid,1.347389530199981
A440 Centroid,E165 Centroid,Centroid,Centroid,0.2457416452487464
A440 Centroid,A220 Centroid,Centroid,Centroid,0.621632639848883
A440 Centroid,E330 Centroid,Centroid,Centroid,0.2438373166241802
A440 Centroid,A440 Centroid,Centroid,Centroid,1
E165 Centroid,E165 Frequency Deviation,Centroid,Frequency Deviation,0.003059909542051893
E165 Centroid,A220 Frequency Deviation,Centroid,Frequency Deviation,-0.00263512898896318
E165 Centroid,E330 Frequency Deviation,Centroid,Frequency Deviation,-0.008259307782602943
E165 Centroid,A440 Frequency Deviation,Centroid,Frequency Deviation,-0.001173385412005393
A220 Centroid,E165 Frequency Deviation,Centroid,Frequency Deviation,8.172933773142474e-4
A220 Centroid,A220 Frequency Deviation,Centroid,Frequency Deviation,-0.006641868058642126
A220 Centroid,E330 Frequency Deviation,Centroid,Frequency Deviation,-0.0090242579222946
A220 Centroid,A440 Frequency Deviation,Centroid,Frequency Deviation,-0.008491128685456957
E330 Centroid,E165 Frequency Deviation,Centroid,Frequency Deviation,-9.229754644445076e-4
E330 Centroid,A220 Frequency Deviation,Centroid,Frequency Deviation,-0.01200193044682574
E330 Centroid,E330 Frequency Deviation,Centroid,Frequency Deviation,-0.0165845451333739
E330 Centroid,A440 Frequency Deviation,Centroid,Frequency Deviation,-0.01084393431306058
A440 Centroid,E165 Frequency Deviation,Centroid,Frequency Deviation,-9.372899382934622e-4
A440 Centroid,A220 Frequency Deviation,Centroid,Frequency Deviation,-0.003033421414059326
A440 Centroid,E330 Frequency Deviation,Centroid,Frequency Deviation,-0.005472096134828969
A440 Centroid,A440 Frequency Deviation,Centroid,Frequency Deviation,-0.004912970964893352
E165 Centroid,E165 Fundamental dB,Centroid,Fundamental,-9.019636435637712e-4
E165 Centroid,A220 Fundamental dB,Centroid,Fundamental,-2.09062150393709e-4
E165 Centroid,E330 Fundamental dB,Centroid,Fundamental,-5.54068753575331e-4
E165 Centroid,A440 Fundamental dB,Centroid,Fundamental,-0.001558150635794841
A220 Centroid,E165 Fundamental dB,Centroid,Fundamental,-1.477998125482432e-4
A220 Centroid,A220 Fundamental dB,Centroid,Fundamental,-7.119344107029093e-5
A220 Centroid,E330 Fundamental dB,Centroid,Fundamental,-6.634513247183892e-4
A220 Centroid,A440 Fundamental dB,Centroid,Fundamental,-0.001233996894115582
E330 Centroid,E165 Fundamental dB,Centroid,Fundamental,-5.218189809005332e-5
E330 Centroid,A220 Fundamental dB,Centroid,Fundamental,-1.688452282198352e-4
E330 Centroid,E330 Fundamental dB,Centroid,Fundamental,-4.475995042995499e-4
E330 Centroid,A440 Fundamental dB,Centroid,Fundamental,-0.002493533246232324
A440 Centroid,E165 Fundamental dB,Centroid,Fundamental,4.438588749834886e-4
A440 Centroid,A220 Fundamental dB,Centroid,Fundamental,2.772879894215053e-5
A440 Centroid,E330 Fundamental dB,Centroid,Fundamental,-3.932382159914645e-4
A440 Centroid,A440 Fundamental dB,Centroid,Fundamental,-0.00178677987042744
E165 Centroid,E165 ot1 dB,Centroid,Overtone,-5.598946024642495e-4
E165 Centroid,E165 ot2 dB,Centroid,Overtone,-4.027533095615121e-4
E165 Centroid,E165 ot3 dB,Centroid,Overtone,0.002185590579592703
E165 Centroid,E165 ot4 dB,Centroid,Overtone,0.002708220704053764
E165 Centroid,E165 ot5 dB,Centroid,Overtone,0.004953351771281228
E165 Centroid,E165 ot6 dB,Centroid,Overtone,0.005609660419879262
E165 Centroid,E165 ot7 dB,Centroid,Overtone,0.004978219537954681
E165 Centroid,A220 ot1 dB,Centroid,Overtone,-3.406407128591157e-4
E165 Centroid,A220 ot2 dB,Centroid,Overtone,0.001141040868784861
E165 Centroid,A220 ot3 dB,Centroid,Overtone,0.002697511969581407
E165 Centroid,A220 ot4 dB,Centroid,Overtone,0.004399289349007338
E165 Centroid,A220 ot5 dB,Centroid,Overtone,0.004595417270961782
E165 Centroid,A220 ot6 dB,Centroid,Overtone,0.006723374121392556
E165 Centroid,A220 ot7 dB,Centroid,Overtone,0.007408417244664819
E165 Centroid,E330 ot1 dB,Centroid,Overtone,6.059918245553167e-5
E165 Centroid,E330 ot2 dB,Centroid,Overtone,0.004129330922169504
E165 Centroid,E330 ot3 dB,Centroid,Overtone,0.00644130878495822
E165 Centroid,E330 ot4 dB,Centroid,Overtone,0.007409949745434281
E165 Centroid,E330 ot5 dB,Centroid,Overtone,0.008022911863926603
E165 Centroid,E330 ot6 dB,Centroid,Overtone,0.008856119519511544
E165 Centroid,E330 ot7 dB,Centroid,Overtone,0.00867497898862116
E165 Centroid,A440 ot1 dB,Centroid,Overtone,1.877320534904048e-4
E165 Centroid,A440 ot2 dB,Centroid,Overtone,0.005021825153163443
E165 Centroid,A440 ot3 dB,Centroid,Overtone,0.007196212377191244
E165 Centroid,A440 ot4 dB,Centroid,Overtone,0.008381369505807116
E165 Centroid,A440 ot5 dB,Centroid,Overtone,0.008882064652390761
E165 Centroid,A440 ot6 dB,Centroid,Overtone,0.007739774815948689
E165 Centroid,A440 ot7 dB,Centroid,Overtone,0.006425388919216579
A220 Centroid,E165 ot1 dB,Centroid,Overtone,-4.893893998898328e-4
A220 Centroid,E165 ot2 dB,Centroid,Overtone,-1.941434594456879e-4
A220 Centroid,E165 ot3 dB,Centroid,Overtone,0.001798761581468257
A220 Centroid,E165 ot4 dB,Centroid,Overtone,8.515199168248129e-4
A220 Centroid,E165 ot5 dB,Centroid,Overtone,0.002852732890835819
A220 Centroid,E165 ot6 dB,Centroid,Overtone,0.004271007636735609
A220 Centroid,E165 ot7 dB,Centroid,Overtone,0.004139803797769787
A220 Centroid,A220 ot1 dB,Centroid,Overtone,-2.436819291644981e-4
A220 Centroid,A220 ot2 dB,Centroid,Overtone,0.001558472416690166
A220 Centroid,A220 ot3 dB,Centroid,Overtone,0.002887920088515145
A220 Centroid,A220 ot4 dB,Centroid,Overtone,0.004805695579203485
A220 Centroid,A220 ot5 dB,Centroid,Overtone,0.005116309769162606
A220 Centroid,A220 ot6 dB,Centroid,Overtone,0.006666739802887953
